[leader node1] listening on 0.0.0.0:9000 followers=2 quorum=2 last_index=0 kernel_quorum=True kernel_broadcast=True
[leader node1] request failed: index 6: got 1 replicas, need 2
[leader node1] request failed: index 7: got 1 replicas, need 2
[leader node1] request failed: index 8: got 1 replicas, need 2
[leader node1] request failed: index 9: got 1 replicas, need 2
[leader node1] request failed: index 10: got 1 replicas, need 2
[leader node1] request failed: index 11: got 1 replicas, need 2
[leader node1] request failed: index 12: got 1 replicas, need 2
[leader node1] request failed: index 13: got 1 replicas, need 2
[leader node1] request failed: index 14: got 1 replicas, need 2
[leader node1] request failed: index 15: got 1 replicas, need 2
[leader node1] request failed: index 16: got 1 replicas, need 2
[leader node1] request failed: index 17: got 1 replicas, need 2
[leader node1] request failed: index 18: got 1 replicas, need 2
[leader node1] request failed: index 19: got 1 replicas, need 2
[leader node1] request failed: index 20: got 1 replicas, need 2
[leader node1] request failed: index 21: got 1 replicas, need 2
[leader node1] request failed: index 22: got 1 replicas, need 2
[leader node1] request failed: index 23: got 1 replicas, need 2
[leader node1] request failed: index 24: got 1 replicas, need 2
[leader node1] request failed: index 25: got 1 replicas, need 2
[leader node1] request failed: index 26: got 1 replicas, need 2
[leader node1] request failed: index 27: got 1 replicas, need 2
[leader node1] request failed: index 28: got 1 replicas, need 2
[leader node1] request failed: index 29: got 1 replicas, need 2
[leader node1] request failed: index 30: got 1 replicas, need 2
[leader node1] request failed: index 31: got 1 replicas, need 2
[leader node1] request failed: index 32: got 1 replicas, need 2
[leader node1] request failed: index 33: got 1 replicas, need 2
[leader node1] request failed: index 34: got 1 replicas, need 2
[leader node1] request failed: index 35: got 1 replicas, need 2
[leader node1] request failed: index 36: got 1 replicas, need 2
[leader node1] request failed: index 37: got 1 replicas, need 2
[leader node1] request failed: index 38: got 1 replicas, need 2
[leader node1] request failed: index 39: got 1 replicas, need 2
[leader node1] request failed: index 40: got 1 replicas, need 2
[leader node1] request failed: index 41: got 1 replicas, need 2
[leader node1] request failed: index 42: got 1 replicas, need 2
[leader node1] request failed: index 43: got 1 replicas, need 2
[leader node1] request failed: index 44: got 1 replicas, need 2
[leader node1] request failed: index 45: got 1 replicas, need 2
[leader node1] request failed: index 46: got 1 replicas, need 2
[leader node1] request failed: index 47: got 1 replicas, need 2
[leader node1] request failed: index 48: got 1 replicas, need 2
[leader node1] request failed: index 49: got 1 replicas, need 2
[leader node1] request failed: index 50: got 1 replicas, need 2
[leader node1] request failed: index 51: got 1 replicas, need 2
[leader node1] request failed: index 52: got 1 replicas, need 2
[leader node1] request failed: index 53: got 1 replicas, need 2
[leader node1] request failed: index 54: got 1 replicas, need 2
[leader node1] request failed: index 55: got 1 replicas, need 2
