seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,1089,38,1,0,0,userspace
2,ok,658,38,2,0,0,userspace
3,ok,427,38,3,0,0,userspace
4,ok,309,38,4,0,0,userspace
5,ok,305,38,5,0,0,userspace
6,ok,271,38,6,0,0,userspace
7,ok,303,38,7,0,0,userspace
8,ok,259,38,8,0,0,userspace
9,ok,222,38,9,0,0,userspace
10,ok,313,39,10,0,0,userspace
11,ok,261,39,11,0,0,userspace
12,ok,219,39,12,0,0,userspace
13,ok,240,39,13,0,0,userspace
14,ok,224,39,14,0,0,userspace
15,ok,224,39,15,0,0,userspace
16,ok,219,39,16,0,0,userspace
17,ok,188,39,17,0,0,userspace
18,ok,294,39,18,0,0,userspace
19,ok,257,39,19,0,0,userspace
20,ok,256,39,20,0,0,userspace
21,ok,215,39,21,0,0,userspace
22,ok,290,39,22,0,0,userspace
23,ok,328,39,23,0,0,userspace
24,ok,227,39,24,0,0,userspace
25,ok,350,39,25,0,0,userspace
26,ok,512,39,26,0,0,userspace
27,ok,427,39,27,0,0,userspace
28,ok,283,39,28,0,0,userspace
29,ok,259,39,29,0,0,userspace
30,ok,281,39,30,0,0,userspace
31,ok,290,39,31,0,0,userspace
32,ok,285,39,32,0,0,userspace
33,ok,315,39,33,0,0,userspace
34,ok,276,39,34,0,0,userspace
35,ok,261,39,35,0,0,userspace
36,ok,216,39,36,0,0,userspace
37,ok,223,39,37,0,0,userspace
38,ok,241,39,38,0,0,userspace
39,ok,243,39,39,0,0,userspace
40,ok,240,39,40,0,0,userspace
41,ok,265,39,41,0,0,userspace
42,ok,237,39,42,0,0,userspace
43,ok,242,39,43,0,0,userspace
44,ok,215,39,44,0,0,userspace
45,ok,268,39,45,0,0,userspace
46,ok,237,39,46,0,0,userspace
47,ok,238,39,47,0,0,userspace
48,ok,206,39,48,0,0,userspace
49,ok,222,39,49,0,0,userspace
50,ok,220,39,50,0,0,userspace
51,ok,214,39,51,0,0,userspace
52,ok,315,39,52,0,0,userspace
53,ok,291,39,53,0,0,userspace
54,ok,281,39,54,0,0,userspace
55,ok,245,39,55,0,0,userspace
56,ok,221,39,56,0,0,userspace
57,ok,250,39,57,0,0,userspace
58,ok,249,39,58,0,0,userspace
59,ok,219,39,59,0,0,userspace
60,ok,229,39,60,0,0,userspace
61,ok,254,39,61,0,0,userspace
62,ok,238,39,62,0,0,userspace
63,ok,221,39,63,0,0,userspace
64,ok,233,39,64,0,0,userspace
65,ok,247,39,65,0,0,userspace
66,ok,276,39,66,0,0,userspace
67,ok,244,39,67,0,0,userspace
68,ok,208,39,68,0,0,userspace
69,ok,246,39,69,0,0,userspace
70,ok,246,39,70,0,0,userspace
71,ok,218,39,71,0,0,userspace
72,ok,222,39,72,0,0,userspace
73,ok,278,39,73,0,0,userspace
74,ok,246,39,74,0,0,userspace
75,ok,241,39,75,0,0,userspace
76,ok,218,39,76,0,0,userspace
77,ok,272,39,77,0,0,userspace
78,ok,217,39,78,0,0,userspace
79,ok,214,39,79,0,0,userspace
80,ok,218,39,80,0,0,userspace
81,ok,273,39,81,0,0,userspace
82,ok,241,39,82,0,0,userspace
83,ok,244,39,83,0,0,userspace
84,ok,226,39,84,0,0,userspace
85,ok,275,39,85,0,0,userspace
86,ok,239,39,86,0,0,userspace
87,ok,213,39,87,0,0,userspace
88,ok,231,39,88,0,0,userspace
89,ok,217,39,89,0,0,userspace
90,ok,221,39,90,0,0,userspace
91,ok,245,39,91,0,0,userspace
92,ok,214,39,92,0,0,userspace
93,ok,276,39,93,0,0,userspace
94,ok,245,39,94,0,0,userspace
95,ok,246,39,95,0,0,userspace
96,ok,221,39,96,0,0,userspace
97,ok,272,39,97,0,0,userspace
98,ok,245,39,98,0,0,userspace
99,ok,246,39,99,0,0,userspace
100,ok,235,40,100,0,0,userspace
