seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,1124,38,1,0,0,userspace
2,ok,715,38,2,0,0,userspace
3,ok,457,38,3,0,0,userspace
4,ok,486,38,4,0,0,userspace
5,ok,505,38,5,0,0,userspace
6,ok,512,38,6,0,0,userspace
7,ok,368,38,7,0,0,userspace
8,ok,286,38,8,0,0,userspace
9,ok,245,38,9,0,0,userspace
10,ok,280,39,10,0,0,userspace
11,ok,241,39,11,0,0,userspace
12,ok,293,39,12,0,0,userspace
13,ok,269,39,13,0,0,userspace
14,ok,255,39,14,0,0,userspace
15,ok,284,39,15,0,0,userspace
16,ok,303,39,16,0,0,userspace
17,ok,258,39,17,0,0,userspace
18,ok,203,39,18,0,0,userspace
19,ok,288,39,19,0,0,userspace
20,ok,263,39,20,0,0,userspace
21,ok,255,39,21,0,0,userspace
22,ok,243,39,22,0,0,userspace
23,ok,365,39,23,0,0,userspace
24,ok,297,39,24,0,0,userspace
25,ok,272,39,25,0,0,userspace
26,ok,253,39,26,0,0,userspace
27,ok,235,39,27,0,0,userspace
28,ok,237,39,28,0,0,userspace
29,ok,244,39,29,0,0,userspace
30,ok,265,39,30,0,0,userspace
31,ok,265,39,31,0,0,userspace
32,ok,242,39,32,0,0,userspace
33,ok,315,39,33,0,0,userspace
34,ok,254,39,34,0,0,userspace
35,ok,253,39,35,0,0,userspace
36,ok,340,39,36,0,0,userspace
37,ok,250,39,37,0,0,userspace
38,ok,223,39,38,0,0,userspace
39,ok,223,39,39,0,0,userspace
40,ok,293,39,40,0,0,userspace
41,ok,251,39,41,0,0,userspace
42,ok,252,39,42,0,0,userspace
43,ok,230,39,43,0,0,userspace
44,ok,300,39,44,0,0,userspace
45,ok,300,39,45,0,0,userspace
46,ok,253,39,46,0,0,userspace
47,ok,227,39,47,0,0,userspace
48,ok,248,39,48,0,0,userspace
49,ok,249,39,49,0,0,userspace
50,ok,252,39,50,0,0,userspace
51,ok,271,39,51,0,0,userspace
52,ok,328,39,52,0,0,userspace
53,ok,290,39,53,0,0,userspace
54,ok,240,39,54,0,0,userspace
55,ok,225,39,55,0,0,userspace
56,ok,256,39,56,0,0,userspace
57,ok,221,39,57,0,0,userspace
58,ok,258,39,58,0,0,userspace
59,ok,275,39,59,0,0,userspace
60,ok,255,39,60,0,0,userspace
61,ok,226,39,61,0,0,userspace
62,ok,295,39,62,0,0,userspace
63,ok,280,39,63,0,0,userspace
64,ok,296,39,64,0,0,userspace
65,ok,242,39,65,0,0,userspace
66,ok,285,39,66,0,0,userspace
67,ok,331,39,67,0,0,userspace
68,ok,251,39,68,0,0,userspace
69,ok,228,39,69,0,0,userspace
70,ok,252,39,70,0,0,userspace
71,ok,253,39,71,0,0,userspace
72,ok,227,39,72,0,0,userspace
73,ok,312,39,73,0,0,userspace
74,ok,246,39,74,0,0,userspace
75,ok,256,39,75,0,0,userspace
76,ok,225,39,76,0,0,userspace
77,ok,283,39,77,0,0,userspace
78,ok,260,39,78,0,0,userspace
79,ok,244,39,79,0,0,userspace
80,ok,230,39,80,0,0,userspace
81,ok,252,39,81,0,0,userspace
