seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,1062,38,1,0,0,ebpf
2,ok,828,38,2,0,0,ebpf
3,ok,709,38,3,0,0,ebpf
4,ok,662,38,4,0,0,ebpf
5,ok,741,38,5,0,0,ebpf
6,ok,785,38,6,0,0,ebpf
7,ok,602,38,7,0,0,ebpf
8,ok,589,38,8,0,0,ebpf
9,ok,533,38,9,0,0,ebpf
10,ok,351,39,10,0,0,ebpf
11,ok,288,39,11,0,0,ebpf
12,ok,267,39,12,0,0,ebpf
13,ok,214,39,13,0,0,ebpf
14,ok,218,39,14,0,0,ebpf
15,ok,204,39,15,0,0,ebpf
16,ok,195,39,16,0,0,ebpf
17,ok,214,39,17,0,0,ebpf
18,ok,246,39,18,0,0,ebpf
19,ok,175,39,19,0,0,ebpf
20,ok,200,39,20,0,0,ebpf
21,ok,158,39,21,0,0,ebpf
22,ok,205,39,22,0,0,ebpf
23,ok,241,39,23,0,0,ebpf
24,ok,211,39,24,0,0,ebpf
25,ok,210,39,25,0,0,ebpf
26,ok,204,39,26,0,0,ebpf
27,ok,209,39,27,0,0,ebpf
28,ok,200,39,28,0,0,ebpf
29,ok,217,39,29,0,0,ebpf
30,ok,169,39,30,0,0,ebpf
31,ok,202,39,31,0,0,ebpf
32,ok,225,39,32,0,0,ebpf
33,ok,208,39,33,0,0,ebpf
34,ok,208,39,34,0,0,ebpf
35,ok,168,39,35,0,0,ebpf
36,ok,222,39,36,0,0,ebpf
37,ok,200,39,37,0,0,ebpf
38,ok,196,39,38,0,0,ebpf
39,ok,154,39,39,0,0,ebpf
40,ok,206,39,40,0,0,ebpf
41,ok,232,39,41,0,0,ebpf
42,ok,207,39,42,0,0,ebpf
43,ok,213,39,43,0,0,ebpf
44,ok,155,39,44,0,0,ebpf
45,ok,158,39,45,0,0,ebpf
46,ok,206,39,46,0,0,ebpf
47,ok,195,39,47,0,0,ebpf
48,ok,200,39,48,0,0,ebpf
49,ok,222,39,49,0,0,ebpf
50,ok,204,39,50,0,0,ebpf
51,ok,233,39,51,0,0,ebpf
52,ok,164,39,52,0,0,ebpf
53,ok,163,39,53,0,0,ebpf
54,ok,165,39,54,0,0,ebpf
55,ok,158,39,55,0,0,ebpf
56,ok,174,39,56,0,0,ebpf
57,ok,165,39,57,0,0,ebpf
58,ok,170,39,58,0,0,ebpf
59,ok,159,39,59,0,0,ebpf
60,ok,170,39,60,0,0,ebpf
61,ok,172,39,61,0,0,ebpf
62,ok,168,39,62,0,0,ebpf
63,ok,165,39,63,0,0,ebpf
64,ok,161,39,64,0,0,ebpf
65,ok,165,39,65,0,0,ebpf
66,ok,156,39,66,0,0,ebpf
67,ok,163,39,67,0,0,ebpf
68,ok,166,39,68,0,0,ebpf
69,ok,159,39,69,0,0,ebpf
70,ok,158,39,70,0,0,ebpf
71,ok,157,39,71,0,0,ebpf
72,ok,156,39,72,0,0,ebpf
73,ok,173,39,73,0,0,ebpf
74,ok,163,39,74,0,0,ebpf
75,ok,158,39,75,0,0,ebpf
76,ok,167,39,76,0,0,ebpf
77,ok,161,39,77,0,0,ebpf
78,ok,161,39,78,0,0,ebpf
79,ok,174,39,79,0,0,ebpf
80,ok,168,39,80,0,0,ebpf
81,ok,164,39,81,0,0,ebpf
82,ok,168,39,82,0,0,ebpf
83,ok,163,39,83,0,0,ebpf
84,ok,171,39,84,0,0,ebpf
85,ok,164,39,85,0,0,ebpf
86,ok,162,39,86,0,0,ebpf
87,ok,159,39,87,0,0,ebpf
88,ok,163,39,88,0,0,ebpf
89,ok,166,39,89,0,0,ebpf
90,ok,172,39,90,0,0,ebpf
91,ok,161,39,91,0,0,ebpf
92,ok,164,39,92,0,0,ebpf
93,ok,168,39,93,0,0,ebpf
94,ok,163,39,94,0,0,ebpf
95,ok,171,39,95,0,0,ebpf
96,ok,173,39,96,0,0,ebpf
97,ok,163,39,97,0,0,ebpf
98,ok,161,39,98,0,0,ebpf
99,ok,162,39,99,0,0,ebpf
100,ok,160,40,100,0,0,ebpf
101,ok,179,40,101,0,0,ebpf
102,ok,166,40,102,0,0,ebpf
103,ok,160,40,103,0,0,ebpf
104,ok,165,40,104,0,0,ebpf
105,ok,167,40,105,0,0,ebpf
106,ok,170,40,106,0,0,ebpf
107,ok,163,40,107,0,0,ebpf
108,ok,160,40,108,0,0,ebpf
109,ok,167,40,109,0,0,ebpf
110,ok,169,40,110,0,0,ebpf
111,ok,158,40,111,0,0,ebpf
112,ok,168,40,112,0,0,ebpf
113,ok,166,40,113,0,0,ebpf
114,ok,162,40,114,0,0,ebpf
115,ok,161,40,115,0,0,ebpf
116,ok,159,40,116,0,0,ebpf
117,ok,169,40,117,0,0,ebpf
118,ok,172,40,118,0,0,ebpf
119,ok,161,40,119,0,0,ebpf
120,ok,165,40,120,0,0,ebpf
121,ok,163,40,121,0,0,ebpf
122,ok,162,40,122,0,0,ebpf
123,ok,165,40,123,0,0,ebpf
124,ok,165,40,124,0,0,ebpf
125,ok,165,40,125,0,0,ebpf
126,ok,157,40,126,0,0,ebpf
127,ok,161,40,127,0,0,ebpf
128,ok,169,40,128,0,0,ebpf
129,ok,170,40,129,0,0,ebpf
130,ok,171,40,130,0,0,ebpf
131,ok,231,40,131,0,0,ebpf
132,ok,217,40,132,0,0,ebpf
133,ok,177,40,133,0,0,ebpf
134,ok,190,40,134,0,0,ebpf
135,ok,176,40,135,0,0,ebpf
136,ok,175,40,136,0,0,ebpf
137,ok,175,40,137,0,0,ebpf
138,ok,162,40,138,0,0,ebpf
139,ok,175,40,139,0,0,ebpf
140,ok,161,40,140,0,0,ebpf
141,ok,168,40,141,0,0,ebpf
142,ok,166,40,142,0,0,ebpf
143,ok,163,40,143,0,0,ebpf
144,ok,173,40,144,0,0,ebpf
145,ok,176,40,145,0,0,ebpf
146,ok,160,40,146,0,0,ebpf
147,ok,159,40,147,0,0,ebpf
148,ok,160,40,148,0,0,ebpf
149,ok,165,40,149,0,0,ebpf
150,ok,183,40,150,0,0,ebpf
151,ok,168,40,151,0,0,ebpf
152,ok,166,40,152,0,0,ebpf
153,ok,162,40,153,0,0,ebpf
154,ok,165,40,154,0,0,ebpf
155,ok,169,40,155,0,0,ebpf
156,ok,170,40,156,0,0,ebpf
157,ok,165,40,157,0,0,ebpf
158,ok,166,40,158,0,0,ebpf
159,ok,162,40,159,0,0,ebpf
160,ok,164,40,160,0,0,ebpf
161,ok,179,40,161,0,0,ebpf
162,ok,171,40,162,0,0,ebpf
163,ok,167,40,163,0,0,ebpf
164,ok,160,40,164,0,0,ebpf
165,ok,164,40,165,0,0,ebpf
166,ok,161,40,166,0,0,ebpf
167,ok,174,40,167,0,0,ebpf
168,ok,166,40,168,0,0,ebpf
169,ok,163,40,169,0,0,ebpf
170,ok,157,40,170,0,0,ebpf
171,ok,162,40,171,0,0,ebpf
172,ok,178,40,172,0,0,ebpf
173,ok,169,40,173,0,0,ebpf
174,ok,164,40,174,0,0,ebpf
175,ok,219,40,175,0,0,ebpf
176,ok,184,40,176,0,0,ebpf
177,ok,181,40,177,0,0,ebpf
178,ok,180,40,178,0,0,ebpf
179,ok,170,40,179,0,0,ebpf
180,ok,174,40,180,0,0,ebpf
181,ok,179,40,181,0,0,ebpf
182,ok,172,40,182,0,0,ebpf
183,ok,166,40,183,0,0,ebpf
184,ok,163,40,184,0,0,ebpf
185,ok,159,40,185,0,0,ebpf
186,ok,194,40,186,0,0,ebpf
187,ok,181,40,187,0,0,ebpf
188,ok,181,40,188,0,0,ebpf
189,ok,163,40,189,0,0,ebpf
190,ok,161,40,190,0,0,ebpf
191,ok,165,40,191,0,0,ebpf
192,ok,162,40,192,0,0,ebpf
193,ok,189,40,193,0,0,ebpf
194,ok,169,40,194,0,0,ebpf
195,ok,172,40,195,0,0,ebpf
196,ok,171,40,196,0,0,ebpf
197,ok,176,40,197,0,0,ebpf
198,ok,168,40,198,0,0,ebpf
199,ok,161,40,199,0,0,ebpf
200,ok,162,40,200,0,0,ebpf
