[leader node1] listening on 0.0.0.0:9000 followers=2 quorum=2 last_index=0 kernel_quorum=True kernel_broadcast=True
[leader node1] request failed: index 349: got 1 replicas, need 2
[leader node1] request failed: index 350: got 1 replicas, need 2
[leader node1] request failed: index 351: got 1 replicas, need 2
[leader node1] request failed: index 352: got 1 replicas, need 2
[leader node1] request failed: index 353: got 1 replicas, need 2
[leader node1] request failed: index 354: got 1 replicas, need 2
[leader node1] request failed: index 355: got 1 replicas, need 2
[leader node1] request failed: index 356: got 1 replicas, need 2
[leader node1] request failed: index 357: got 1 replicas, need 2
[leader node1] request failed: index 358: got 1 replicas, need 2
[leader node1] request failed: index 359: got 1 replicas, need 2
[leader node1] request failed: index 360: got 1 replicas, need 2
[leader node1] request failed: index 361: got 1 replicas, need 2
[leader node1] request failed: index 362: got 1 replicas, need 2
[leader node1] request failed: index 363: got 1 replicas, need 2
[leader node1] request failed: index 364: got 1 replicas, need 2
[leader node1] request failed: index 365: got 1 replicas, need 2
[leader node1] request failed: index 366: got 1 replicas, need 2
[leader node1] request failed: index 367: got 1 replicas, need 2
[leader node1] request failed: index 368: got 1 replicas, need 2
[leader node1] request failed: index 369: got 1 replicas, need 2
[leader node1] request failed: index 370: got 1 replicas, need 2
[leader node1] request failed: index 371: got 1 replicas, need 2
[leader node1] request failed: index 372: got 1 replicas, need 2
[leader node1] request failed: index 373: got 1 replicas, need 2
[leader node1] request failed: index 374: got 1 replicas, need 2
[leader node1] request failed: index 375: got 1 replicas, need 2
[leader node1] request failed: index 376: got 1 replicas, need 2
[leader node1] request failed: index 377: got 1 replicas, need 2
[leader node1] request failed: index 378: got 1 replicas, need 2
[leader node1] request failed: index 379: got 1 replicas, need 2
[leader node1] request failed: index 380: got 1 replicas, need 2
[leader node1] request failed: index 381: got 1 replicas, need 2
[leader node1] request failed: index 382: got 1 replicas, need 2
[leader node1] request failed: index 383: got 1 replicas, need 2
[leader node1] request failed: index 384: got 1 replicas, need 2
[leader node1] request failed: index 385: got 1 replicas, need 2
[leader node1] request failed: index 386: got 1 replicas, need 2
[leader node1] request failed: index 387: got 1 replicas, need 2
[leader node1] request failed: index 388: got 1 replicas, need 2
[leader node1] request failed: index 389: got 1 replicas, need 2
[leader node1] request failed: index 390: got 1 replicas, need 2
[leader node1] request failed: index 391: got 1 replicas, need 2
[leader node1] request failed: index 392: got 1 replicas, need 2
[leader node1] request failed: index 393: got 1 replicas, need 2
[leader node1] request failed: index 394: got 1 replicas, need 2
[leader node1] request failed: index 395: got 1 replicas, need 2
[leader node1] request failed: index 396: got 1 replicas, need 2
[leader node1] request failed: index 397: got 1 replicas, need 2
[leader node1] request failed: index 398: got 1 replicas, need 2
[leader node1] request failed: index 399: got 1 replicas, need 2
[leader node1] request failed: index 400: got 1 replicas, need 2
[leader node1] request failed: index 401: got 1 replicas, need 2
[leader node1] request failed: index 402: got 1 replicas, need 2
[leader node1] request failed: index 403: got 1 replicas, need 2
[leader node1] request failed: index 404: got 1 replicas, need 2
[leader node1] request failed: index 405: got 1 replicas, need 2
[leader node1] request failed: index 406: got 1 replicas, need 2
[leader node1] request failed: index 407: got 1 replicas, need 2
[leader node1] request failed: index 408: got 1 replicas, need 2
[leader node1] request failed: index 409: got 1 replicas, need 2
[leader node1] request failed: index 410: got 1 replicas, need 2
[leader node1] request failed: index 411: got 1 replicas, need 2
[leader node1] request failed: index 412: got 1 replicas, need 2
[leader node1] request failed: index 413: got 1 replicas, need 2
[leader node1] request failed: index 414: got 1 replicas, need 2
[leader node1] request failed: index 415: got 1 replicas, need 2
[leader node1] request failed: index 416: got 1 replicas, need 2
[leader node1] request failed: index 417: got 1 replicas, need 2
[leader node1] request failed: index 418: got 1 replicas, need 2
[leader node1] request failed: index 419: got 1 replicas, need 2
[leader node1] request failed: index 420: got 1 replicas, need 2
[leader node1] request failed: index 421: got 1 replicas, need 2
[leader node1] request failed: index 422: got 1 replicas, need 2
[leader node1] request failed: index 423: got 1 replicas, need 2
[leader node1] request failed: index 424: got 1 replicas, need 2
