seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,1044,38,1,0,0,userspace
2,ok,801,38,2,0,0,userspace
3,ok,541,38,3,0,0,userspace
4,ok,482,38,4,0,0,userspace
5,ok,578,38,5,0,0,userspace
6,ok,490,38,6,0,0,userspace
7,ok,597,38,7,0,0,userspace
8,ok,514,38,8,0,0,userspace
9,ok,391,38,9,0,0,userspace
10,ok,367,39,10,0,0,userspace
11,ok,457,39,11,0,0,userspace
12,ok,351,39,12,0,0,userspace
13,ok,336,39,13,0,0,userspace
14,ok,287,39,14,0,0,userspace
15,ok,210,39,15,0,0,userspace
16,ok,290,39,16,0,0,userspace
17,ok,347,39,17,0,0,userspace
18,ok,417,39,18,0,0,userspace
19,ok,236,39,19,0,0,userspace
20,ok,215,39,20,0,0,userspace
21,ok,208,39,21,0,0,userspace
22,ok,213,39,22,0,0,userspace
23,ok,324,39,23,0,0,userspace
24,ok,321,39,24,0,0,userspace
25,ok,200,39,25,0,0,userspace
26,ok,209,39,26,0,0,userspace
27,ok,203,39,27,0,0,userspace
28,ok,210,39,28,0,0,userspace
29,ok,209,39,29,0,0,userspace
30,ok,199,39,30,0,0,userspace
31,ok,164,39,31,0,0,userspace
32,ok,167,39,32,0,0,userspace
33,ok,196,39,33,0,0,userspace
34,ok,204,39,34,0,0,userspace
35,ok,287,39,35,0,0,userspace
36,ok,395,39,36,0,0,userspace
37,ok,329,39,37,0,0,userspace
38,ok,376,39,38,0,0,userspace
39,ok,313,39,39,0,0,userspace
40,ok,239,39,40,0,0,userspace
41,ok,273,39,41,0,0,userspace
42,ok,196,39,42,0,0,userspace
43,ok,234,39,43,0,0,userspace
44,ok,232,39,44,0,0,userspace
45,ok,263,39,45,0,0,userspace
46,ok,254,39,46,0,0,userspace
47,ok,224,39,47,0,0,userspace
48,ok,194,39,48,0,0,userspace
49,ok,273,39,49,0,0,userspace
50,ok,256,39,50,0,0,userspace
51,ok,231,39,51,0,0,userspace
52,ok,222,39,52,0,0,userspace
53,ok,230,39,53,0,0,userspace
54,ok,270,39,54,0,0,userspace
55,ok,197,39,55,0,0,userspace
56,ok,204,39,56,0,0,userspace
57,ok,191,39,57,0,0,userspace
58,ok,264,39,58,0,0,userspace
59,ok,222,39,59,0,0,userspace
60,ok,196,39,60,0,0,userspace
61,ok,195,39,61,0,0,userspace
62,ok,196,39,62,0,0,userspace
63,ok,194,39,63,0,0,userspace
64,ok,226,39,64,0,0,userspace
65,ok,193,39,65,0,0,userspace
66,ok,204,39,66,0,0,userspace
67,ok,193,39,67,0,0,userspace
68,ok,195,39,68,0,0,userspace
69,ok,193,39,69,0,0,userspace
70,ok,233,39,70,0,0,userspace
71,ok,244,39,71,0,0,userspace
72,ok,225,39,72,0,0,userspace
73,ok,226,39,73,0,0,userspace
74,ok,192,39,74,0,0,userspace
75,ok,210,39,75,0,0,userspace
76,ok,248,39,76,0,0,userspace
77,ok,169,39,77,0,0,userspace
78,ok,166,39,78,0,0,userspace
79,ok,194,39,79,0,0,userspace
80,ok,202,39,80,0,0,userspace
81,ok,191,39,81,0,0,userspace
82,ok,198,39,82,0,0,userspace
83,ok,192,39,83,0,0,userspace
84,ok,194,39,84,0,0,userspace
85,ok,319,39,85,0,0,userspace
86,ok,409,39,86,0,0,userspace
87,ok,258,39,87,0,0,userspace
88,ok,231,39,88,0,0,userspace
89,ok,226,39,89,0,0,userspace
90,ok,222,39,90,0,0,userspace
91,ok,193,39,91,0,0,userspace
92,ok,226,39,92,0,0,userspace
93,ok,286,39,93,0,0,userspace
94,ok,241,39,94,0,0,userspace
95,ok,198,39,95,0,0,userspace
96,ok,217,39,96,0,0,userspace
97,ok,234,39,97,0,0,userspace
98,ok,268,39,98,0,0,userspace
99,ok,230,39,99,0,0,userspace
100,ok,172,40,100,0,0,userspace
